DATE_DEBUT;DATE_FIN;P_SOUSCRITE;PART_FIXE_TTC_MOIS;PART_FIXE_TTC;PART_VARIABLE_TTC
01/08/2015;31/07/2016;3;;54,48;0,1503
01/08/2015;31/07/2016;6;;88,44;0,1503
01/08/2015;31/07/2016;9;;117,24;0,1503
01/08/2015;31/07/2016;12;;180,12;0,1503
01/08/2015;31/07/2016;15;;206,52;0,1503
01/08/2016;31/07/2017;3;;;0,1503
01/08/2016;31/07/2017;6;;;0,1503
01/08/2016;31/07/2017;9;;;0,1503
01/08/2016;31/07/2017;12;;;0,1503
01/08/2016;31/07/2017;15;;;0,1503
01/08/2017;31/01/2018;3;;;0,1546
01/08/2017;31/01/2018;6;;;0,1466
01/08/2017;31/01/2018;9;;;0,1483
01/08/2017;31/01/2018;12;;;0,1483
01/08/2017;31/01/2018;15;;;0,1483
01/02/2018;31/07/2018;3;;;0,1555
01/02/2018;31/07/2018;6;;;0,1467
01/02/2018;31/07/2018;9;;;0,1483
01/02/2018;31/07/2018;12;;;0,1483
01/02/2018;31/07/2018;15;;;0,1483
01/08/2018;31/05/2019;3;;;0,145
01/08/2018;31/05/2019;6;;;0,145
01/08/2018;31/05/2019;9;;;0,1467
01/08/2018;31/05/2019;12;;;0,1467
01/08/2018;31/05/2019;15;;;0,1467
01/06/2019;31/07/2019;3;;;0,1531
01/06/2019;31/07/2019;6;;;0,1531
01/06/2019;31/07/2019;9;;;0,1562
01/06/2019;31/07/2019;12;;;0,1562
01/06/2019;31/07/2019;15;;;0,1562
01/08/2019;31/01/2020;3;;;0,1524
01/08/2019;31/01/2020;6;;;0,1524
01/08/2019;31/01/2020;9;;;0,1555
01/08/2019;31/01/2020;12;;;0,1555
01/08/2019;31/01/2020;15;;;0,1555
01/02/2020;31/07/2020;3;;;0,1546
01/02/2020;31/07/2020;6;;;0,1546
01/02/2020;31/07/2020;9;;;0,1587
01/02/2020;31/07/2020;12;;;0,1587
01/02/2020;31/07/2020;15;;;0,1587
01/08/2020;31/01/2021;3;;103,08;0,15566
01/08/2020;31/01/2021;6;;127,92;0,15566
01/08/2020;31/01/2021;9;;152,64;0,15974
01/08/2020;31/01/2021;12;;177,48;0,15974
01/08/2020;31/01/2021;15;;201,48;0,15974
01/02/2021;31/07/2021;3;;;0,1582
01/02/2021;31/07/2021;6;;;0,1582
01/02/2021;31/07/2021;9;;;0,163
01/02/2021;31/07/2021;12;;;0,163
01/02/2021;31/07/2021;15;;;0,163
01/08/2021;31/01/2022;3;;105;0,15581
01/08/2021;31/01/2022;6;;137,76;0,15581
01/08/2021;31/01/2022;9;;171,36;0,16049
01/08/2021;31/01/2022;12;;205,56;0,16049
01/08/2021;31/01/2022;15;;237,72;0,16049
01/08/2021;31/01/2022;3;;;0,174
01/02/2022;31/07/2022;6;;;0,174
01/02/2022;31/07/2022;9;;;0,174
01/02/2022;31/07/2022;12;;;0,174
01/02/2022;31/07/2022;15;;;0,174
01/08/2022;31/01/2023;3;;;0,174
01/08/2022;31/01/2023;6;;;0,174
01/08/2022;31/01/2023;9;;;0,174
01/08/2022;31/01/2023;12;;;0,174
01/08/2022;31/01/2023;15;;;0,174
01/02/2023;31/07/2023;3;;;0,2062
01/02/2023;31/07/2023;6;;;0,2062
01/02/2023;31/07/2023;9;;;0,2062
01/02/2023;31/07/2023;12;;;0,2062
01/02/2023;31/07/2023;15;;;0,2062
01/08/2023;31/01/2024;3;;;0,2276
01/08/2023;31/01/2024;6;;;0,2276
01/08/2023;31/01/2024;9;;;0,2276
01/08/2023;31/01/2024;12;;;0,2276
01/08/2023;31/01/2024;15;;;0,2276
01/02/2024;31/01/2025;3;;116,28;0,25164
01/02/2024;31/01/2025;6;;152,52;0,25164
01/02/2024;31/01/2025;9;;191,52;0,25164
01/02/2024;31/01/2025;12;;231,24;0,25164
01/02/2024;31/01/2025;15;;268,2;0,25164
01/02/2025;31/07/2025;3;;125,76;0,2016
01/02/2025;31/07/2025;6;;166,32;0,2016
01/08/2025;31/01/2026;3;;141,48;0,19522
01/08/2025;31/01/2026;6;;187,08;0,19522
01/08/2025;31/01/2026;9;;234,96;0,19522
01/08/2025;31/01/2026;12;;282,96;0,19522
01/08/2025;31/01/2026;15;;328,56;0,19522
01/08/2025;31/01/2026;18;;373,68;0,19522
01/08/2025;31/01/2026;24;;471,48;0,19522
01/08/2025;31/01/2026;30;;564,84;0,19522
01/08/2025;31/01/2026;36;;660,6;0,19522
01/02/2026;;3;12,07;144,84;0,19398
01/02/2026;;6;15,74;188,88;0,19398
01/02/2026;;9;19,69;236,28;0,19266
01/02/2026;;12;23,49;281,88;0,19266
01/02/2026;;15;27,06;324,72;0,19266
01/02/2026;;18;30,75;369;0,19266
01/02/2026;;24;38,59;463,08;0,19266
01/02/2026;;30;45,8;549,6;0,19266
01/02/2026;;36;53,06;636,72;0,19266
